@timestamp,requestId,functionArn,executionTime
2024-08-08 18:26:14.756,8bd9630a-e655-5da1-80bb-3c25e9a20f6e,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.672216331s
2024-08-08 18:26:14.757,,,
2024-08-08 18:26:14.780,,,
2024-08-08 18:26:14.795,,,
2024-08-08 18:26:14.795,985a0756-e020-50c3-acef-5879f025fe9a,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,699.798703ms
2024-08-08 18:26:14.795,,,
2024-08-08 18:26:14.922,,,
2024-08-08 18:26:14.922,553f32f8-b7cc-5408-94c1-6dd7b83aaa51,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.629318151s
2024-08-08 18:26:14.923,,,
2024-08-08 18:26:14.993,,,
2024-08-08 18:26:14.993,be7d85cb-9389-51ab-93c9-dae49c7da2f8,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.693330874s
2024-08-08 18:26:14.995,,,
2024-08-08 18:26:15.018,,,
2024-08-08 18:26:15.383,,,
2024-08-08 18:26:15.383,1e247181-4ee2-54e7-ab5c-2eae5ee45051,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,700.688979ms
2024-08-08 18:26:15.384,,,
2024-08-08 18:26:15.858,,,
2024-08-08 18:26:15.858,9f8ecd2e-e3a6-5929-9b9a-9201ec50a55f,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,837.870185ms
2024-08-08 18:26:15.859,,,
2024-08-08 18:26:16.432,,,
2024-08-08 18:26:16.432,3784058a-35a4-5cef-816c-5aa53a5d3bc0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.649026265s
2024-08-08 18:26:16.433,,,
2024-08-08 18:26:30.484,,,
2024-08-08 18:26:30.484,,,
2024-08-08 18:26:30.606,,,
2024-08-08 18:26:30.610,,,
2024-08-08 18:26:30.629,,,
2024-08-08 18:26:30.711,,,
2024-08-08 18:26:31.136,,,
